Name of the Headquarters Hospital,Sanctioned Bed Strength (in Numbers) as on 01.01.2018,Doctors_Required,PSO_Optimized_Doctors,Nurses_Required,PSO_Optimized_Nurses,ICU_Beds_Required,PSO_Optimized_ICU_Beds,Ambulances_Required,PSO_Optimized_Ambulances,Emergency_Staff_Required,PSO_Optimized_Emergency_Staff
"Arignar Anna Government Hospital of Indian Medicine, Chennai",275,14,14,55,55,42,42,3,3,11,11
"Varma Department, Chennai",35,2,2,7,7,6,6,1,1,2,2
"Government Siddha Medical College Hospital, Palayamkottai",350,18,18,70,70,53,53,4,4,14,14
"Government Homeopathy Medical College, Tirumangalam",50,3,3,10,10,8,8,1,1,2,2
"Government Ayurveda Medical College, Kottar, Nagercoil",100,5,5,20,20,15,15,1,1,4,4
"Government Yoga and Naturopathy Medical College, Chennai",50,3,3,10,10,8,8,1,1,2,2
"District Headquarters Hospital, Kancheepuram",25,2,2,5,5,4,4,1,1,1,1
"Medical College and Hospital, Vellore",25,2,2,5,5,4,4,1,1,1,1
"District Headquarters Hospital, Nagapattinam",25,2,2,5,5,4,4,1,2,1,1
"District Headquarters Hospital, Dindigul",25,2,2,5,7,4,3,1,1,1,1
"District Headquarters Hospital, Tiruppur",25,2,2,5,5,4,4,1,1,1,1
"District Headquarters Hospital, Erode",25,2,2,5,5,4,4,1,1,1,1
"District Headquarters Hospital, Cuddalore",15,1,1,3,3,3,3,1,1,1,1
"District Headquarters Hospital, Ramanathapuram",15,1,1,3,3,3,3,1,1,1,1
"Medical College and Hospital, Thoothukudi",15,1,2,3,3,3,3,1,1,1,1
"District Headquarters Hospital, Pennagram, Dharmapuri",15,1,1,3,2,3,3,1,1,1,1
"Medical College and Hospital, Tiruchirappalli",16,1,1,4,5,3,3,1,1,1,1
"Medical College and Hospital, Nagercoil",16,1,1,4,4,3,5,1,1,1,1
"District Headquarters Hospital, Virudhunagar",16,1,1,4,3,3,3,1,1,1,1
"District Headquarters Hospital, Sivaganga",16,1,2,4,4,3,4,1,1,1,1
"District Headquarters Hospital, Kumbakonam",16,1,1,4,4,3,4,1,1,1,1
"District Headquarters Hospital, Karur",16,1,1,4,4,3,3,1,1,1,1
"District Headquarters Hospital, Villupuram",16,1,1,4,4,3,3,1,1,1,1
"District Headquarters Hospital, Tiruvarur",16,1,1,4,4,3,3,1,2,1,1
"District Headquarters Hospital, Mettur Dam",16,1,1,4,5,3,4,1,1,1,2
"District Headquarters Hospital, Namakkal",16,1,1,4,5,3,3,1,1,1,1
"Taluk Hospital, Chidambaram",15,1,1,3,5,3,3,1,1,1,1
"Non-Taluk Hospital, Kadayanallur, Tirunelveli",15,1,1,3,4,3,3,1,2,1,1
Total,1260,63,63,252,252,189,189,13,13,51,51
